City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Mercedes,AR,2021-04-17 21:29:54,-34.6515,-59.4307,75.99,62,100,5.99
183,Muscat,OM,2021-04-17 21:26:46,23.6139,58.5922,78.8,24,0,2.3
184,Barro,BR,2021-04-17 21:29:55,-6.7167,-38.8667,76.55,74,100,4.14
185,Saint-Pierre,RE,2021-04-17 21:29:56,-21.3393,55.4781,71.6,94,75,5.75
186,Bethel,US,2021-04-17 21:29:56,41.3712,-73.414,50.0,61,99,5.84
187,Kosonsoy,UZ,2021-04-17 21:29:56,41.2561,71.5508,57.2,51,100,4.61
188,Isangel,VU,2021-04-17 21:29:57,-19.55,169.2667,78.91,82,94,12.91
189,Spring Valley,US,2021-04-17 21:29:57,36.108,-115.245,73.99,18,20,9.22
190,Cherskiy,RU,2021-04-17 21:29:58,68.75,161.3,20.71,72,1,25.64
191,Killybegs,IE,2021-04-17 21:29:58,54.6333,-8.45,46.0,92,100,11.99
192,Qaanaaq,GL,2021-04-17 21:29:58,77.484,-69.3632,0.09,88,100,2.17
193,Kribi,CM,2021-04-17 21:29:59,2.95,9.9167,80.35,86,99,5.57
194,Canon City,US,2021-04-17 21:29:59,38.441,-105.2424,41.0,70,90,4.61
195,Georgetown,MY,2021-04-17 21:26:59,5.4112,100.3354,80.01,89,20,4.61
196,Saint-Philippe,RE,2021-04-17 21:30:00,-21.3585,55.7679,75.2,94,75,5.75
197,Lompoc,US,2021-04-17 21:30:00,34.6391,-120.4579,61.0,63,1,14.97
198,Dicamay,PH,2021-04-17 21:30:01,16.7561,122.0037,70.65,93,100,0.63
199,San Patricio,US,2021-04-17 21:30:01,28.017,-97.5169,63.0,72,90,18.41
200,Lagoa,PT,2021-04-17 21:30:01,39.05,-27.9833,61.25,91,51,17.65
201,Chalon-Sur-Saone,FR,2021-04-17 21:28:04,46.7833,4.85,50.0,57,0,6.91
202,Grimshaw,CA,2021-04-17 21:30:02,56.1834,-117.6027,60.8,33,90,14.97
203,Pryazha,RU,2021-04-17 21:30:02,61.6926,33.6216,32.0,74,0,2.24
204,Emborion,GR,2021-04-17 21:30:03,40.4833,21.55,50.0,100,100,2.28
205,Madaoua,NE,2021-04-17 21:25:13,14.073,5.96,88.72,7,64,6.93
206,Maceio,BR,2021-04-17 21:30:04,-9.6658,-35.7353,80.6,78,75,6.91
207,Penzance,GB,2021-04-17 21:27:06,50.1186,-5.5371,46.0,65,0,2.3
208,Vestmannaeyjar,IS,2021-04-17 21:30:04,63.4427,-20.2734,38.77,93,100,25.64
209,Riviere-Au-Renard,CA,2021-04-17 21:30:05,48.9957,-64.3971,35.6,75,75,11.5
210,Asau,RO,2021-04-17 21:30:05,46.4333,26.4,42.01,51,100,3.04
211,Chuy,UY,2021-04-17 21:30:06,-33.6971,-53.4616,64.09,89,4,6.42
212,Kasane,BW,2021-04-17 21:30:07,-17.8167,25.15,63.05,67,44,6.55
213,Arauco,CL,2021-04-17 21:30:07,-37.2463,-73.3175,59.0,82,90,10.36
214,Ziarat,PK,2021-04-17 21:30:07,30.3823,67.7282,50.32,29,0,6.22
215,Mabaruma,GY,2021-04-17 21:30:08,8.2,-59.7833,77.88,76,50,5.7
216,Port Lincoln,AU,2021-04-17 21:30:09,-34.7333,135.8667,57.33,76,25,4.18
217,Anadyr,RU,2021-04-17 21:30:09,64.75,177.4833,32.0,100,90,11.18
218,La Rioja,ES,2021-04-17 21:30:09,42.25,-2.5,41.0,65,75,8.05
219,Avarua,CK,2021-04-17 21:30:10,-21.2078,-159.775,82.4,74,11,8.05
