City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
527,Santa Rosa,PH,88.0,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
534,Miri,MY,80.6,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
538,Cozumel,MX,82.0,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
544,Pasaje,EC,80.6,light rain,-3.3333,-79.8167,Finca Huaylala
554,Mogadishu,SO,82.72,few clouds,2.0371,45.3438,Hotel Juba
559,Maragogi,BR,76.53,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
561,Luganville,VU,84.63,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
562,Bilma,NE,85.41,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
563,Mulege,MX,76.64,clear sky,26.8833,-111.9833,Casa Granada
564,Prado,BR,75.06,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
569,Bullhead City,US,77.0,clear sky,35.1478,-114.5683,Harrah's Laughlin
570,Alyangula,AU,86.0,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
575,Ler,SS,83.77,broken clouds,8.3018,30.1418,
583,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
594,Raga,SS,76.96,overcast clouds,8.4596,25.678,
595,Domoni,KM,79.93,overcast clouds,-12.2569,44.5319,Al Djadid
600,George Town,MY,84.2,few clouds,5.4112,100.3354,Cititel Penang
604,Ranot,TH,82.02,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
607,Sambava,MG,75.65,light rain,-14.2667,50.1667,Melrose
623,Matara,LK,77.27,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
625,La Victoria,VE,82.4,scattered clouds,10.2184,-67.3302,Hotel Hacienda El Recreo
629,Kathu,TH,86.0,few clouds,7.9178,98.3332,Novotel Phuket Resort
632,Roebourne,AU,85.66,clear sky,-20.7833,117.1333,Harding River Caravan Park
634,Pundaguitan,PH,83.55,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
636,Amahai,ID,83.62,light rain,-3.3333,128.9167,HOTEL ISABELA
637,Manokwari,ID,81.82,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
638,Itacarambi,BR,75.07,broken clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
649,Porbandar,IN,78.01,clear sky,21.6422,69.6093,Lords Inn Porbandar
652,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
653,Periyanegamam,IN,78.8,mist,10.7333,77.1,சிவன் காலி மனை
660,Kidal,ML,85.57,overcast clouds,18.4411,1.4078,
661,Urucui,BR,75.33,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
662,Mayor Pablo Lagerenza,PY,76.23,light rain,-19.9309,-60.7718,
667,Salinopolis,BR,77.76,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
672,Pipraich,IN,80.13,clear sky,26.8264,83.53,Omkar Nath Vivek Kumar Jwellers
673,Karratha,AU,86.05,clear sky,-20.7377,116.8463,ibis Styles Karratha
675,Guanica,PR,81.0,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
676,Carupano,VE,76.96,scattered clouds,10.6678,-63.2585,Hotel La dorada
