City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Talnakh,RU,69.4865,88.3972,-15.74,93,50,0.85,scattered clouds
259,Itabuna,BR,-14.7856,-39.2803,77.0,94,75,3.44,broken clouds
260,Pizhma,RU,57.8642,47.1171,32.95,93,8,4.27,clear sky
261,Yashkul,RU,46.1711,45.3435,53.35,74,100,4.81,overcast clouds
262,Arrecife,ES,28.963,-13.5477,66.2,68,40,14.97,scattered clouds
263,Mar Del Plata,AR,-38.0023,-57.5575,66.99,100,90,4.61,light rain
264,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,75,10.36,broken clouds
265,Avera,US,33.194,-82.5271,68.0,56,75,3.44,broken clouds
266,Dryden,CA,49.7833,-92.7503,48.2,37,40,5.75,scattered clouds
267,San Andres,CO,12.5847,-81.7006,82.4,83,40,9.22,scattered clouds
268,Sal Rei,CV,16.1833,-22.9167,69.8,78,75,14.97,broken clouds
269,Torbay,CA,47.6666,-52.7314,35.01,100,90,20.71,overcast clouds
270,Ambilobe,MG,-13.2,49.05,72.32,96,71,3.69,broken clouds
271,Byron Bay,AU,-28.65,153.6167,68.0,68,75,13.8,broken clouds
272,Yellowknife,CA,62.456,-114.3525,34.0,74,75,11.52,light snow
273,Nanortalik,GL,60.1432,-45.2371,25.45,56,0,27.87,clear sky
274,Namibe,AO,-15.1961,12.1522,82.15,65,0,1.74,clear sky
275,Zhigansk,RU,66.7697,123.3711,15.13,88,100,12.88,overcast clouds
276,Ishigaki,JP,24.3448,124.1572,71.6,60,20,26.46,few clouds
277,Zyryanka,RU,65.75,150.85,34.54,79,100,17.02,overcast clouds
278,Nicoya,CR,10.1483,-85.452,73.4,100,75,4.61,broken clouds
279,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,83,40,13.8,scattered clouds
280,Khipro,PK,25.8285,69.3772,81.68,32,5,7.56,clear sky
281,Mehamn,NO,71.0357,27.8492,34.56,81,68,11.39,broken clouds
282,Abnub,EG,27.2696,31.1511,73.4,33,0,3.44,clear sky
